faprotax_taxa	ncbi_taxa	rank
Micrococcus antarcticus	Micrococcus antarcticus	species
Micrococcus endophyticus	Micrococcus endophyticus	species
Micrococcus luteus	Micrococcus luteus	species
Microlunatus aurantiacus	Microlunatus aurantiacus	species
Microlunatus phosphovorus	Microlunatus phosphovorus	species
Micromonospora aurantiaca	Micromonospora aurantiaca	species
Micromonospora chalcea	Micromonospora chalcea	species
Micromonospora halophytica	Micromonospora halophytica	species
Micromonospora lupini	Micromonospora lupini	species
Micromonospora mirobrigensis	Micromonospora mirobrigensis	species
Micromonospora nigra	Micromonospora nigra	species
Micromonospora pallida	Micromonospora pallida	species
Micromonospora rosaria	Micromonospora rosaria	species
Micromonospora saelicesensis	Micromonospora saelicesensis	species
Microtetraspora fusca	Microtetraspora fusca	species
Microtetraspora glauca	Microtetraspora glauca	species
Microtetraspora niveoalba	Microtetraspora niveoalba	species
Microvirgula aerodenitrificans	Microvirgula aerodenitrificans	species
Miniimonas arenae	Miniimonas arenae	species
Mitsuaria chitosanitabida	Mitsuaria chitosanitabida	species
Mizugakiibacter sediminis	Mizugakiibacter sediminis	species
Mobilicoccus pelagius	Mobilicoccus pelagius	species
Mobiluncus curtisii	Mobiluncus curtisii	species
Mobiluncus mulieris	Mobiluncus mulieris	species
Modestobacter multiseptatus	Modestobacter multiseptatus	species
Modestobacter versicolor	Modestobacter versicolor	species
Moheibacter sediminis	Moheibacter sediminis	species
Moorella thermoacetica	Moorella thermoacetica	species
Moorella thermoautotrophica	Moorella thermoautotrophica	species
Moraxella boevrei	Moraxella boevrei	species
Moraxella caprae	Moraxella caprae	species
Moraxella equi	Moraxella equi	species
Morganella morganii	Morganella morganii	species
Moritella japonica	Moritella japonica	species
Moritella marina	Moritella marina	species
Mucilaginibacter composti	Mucilaginibacter composti	species
Mucilaginibacter gynuensis	Mucilaginibacter gynuensis	species
Mucilaginibacter herbaticus	Mucilaginibacter herbaticus	species
Myceligenerans crystallogenes	Myceligenerans crystallogenes	species
Myceligenerans halotolerans	Myceligenerans halotolerans	species
Mycetocola reblochoni	Mycetocola reblochoni	species
Mycetocola saprophilus	Mycetocola saprophilus	species
Mycetocola tolaasinivorans	Mycetocola tolaasinivorans	species
Mycobacterium asiaticum	Mycobacterium asiaticum	species
Mycobacterium avium	Mycobacterium avium	species
Mycobacterium barrassiae	Mycobacterium barrassiae	species
Mycobacterium branderi	Mycobacterium branderi	species
Mycobacterium celatum	Mycobacterium celatum	species
Mycobacterium colombiense	Mycobacterium colombiense	species
Mycobacterium intracellulare	Mycobacterium intracellulare	species
Mycobacterium leprae	Mycobacterium leprae	species
Mycobacterium marinum	Mycobacterium marinum	species
Mycobacterium tuberculosis	Mycobacterium tuberculosis	species
Mycoplana ramosa	Mycoplana ramosa	species
Mycoplasma elephantis	Mycoplasma elephantis	species
Mycoplasma genitalium	Mycoplasma genitalium	species
Mycoplasma haemocanis	Mycoplasma haemocanis	species
Mycoplasma hominis	Mycoplasma hominis	species
Mycoplasma penetrans	Mycoplasma penetrans	species
Mycoplasma pneumoniae	Mycoplasma pneumoniae	species
Myroides odoratimimus	Myroides odoratimimus	species
Naasia aerilata	Naasia aerilata	species
Nannocystis exedens	Nannocystis exedens	species
Natranaerobius thermophilus	Natranaerobius thermophilus	species
Natrinema pellirubrum	Natrinema pellirubrum	species
Natroniella acetigena	Natroniella acetigena	species
Natronincola histidinovorans	Natronincola histidinovorans	species
Nautilia abyssi	Nautilia abyssi	species
Nautilia lithotrophica	Nautilia lithotrophica	species
Nautilia nitratireducens	Nautilia nitratireducens	species
Nautilia profundicola	Nautilia profundicola	species
Neisseria elongata	Neisseria elongata	species
Neisseria flavescens	Neisseria flavescens	species
Neisseria gonorrhoeae	Neisseria gonorrhoeae	species
Neisseria meningitidis	Neisseria meningitidis	species
Neisseria subflava	Neisseria subflava	species
Neocallimastix patriciarum	Neocallimastix patriciarum	species
Neptunomonas naphthovorans	Neptunomonas naphthovorans	species
Nereida ignava	Nereida ignava	species
Nesterenkonia halotolerans	Nesterenkonia halotolerans	species
Nesterenkonia lutea	Nesterenkonia lutea	species
Nesterenkonia xinjiangensis	Nesterenkonia xinjiangensis	species
Nevskia	Nevskia	genus
Nisaea denitrificans	Nisaea denitrificans	species
Nisaea nitritireducens	Nisaea nitritireducens	species
Nitratifractor salsuginis	Nitratifractor salsuginis	species
Nitratireductor kimnyeongensis	Nitratireductor kimnyeongensis	species
Nitratiruptor tergarcus	Nitratiruptor tergarcus	species
Nitriliruptor alkaliphilus	Nitriliruptor alkaliphilus	species
Nitrolancea hollandica	Nitrolancea hollandica	species
Nitrosarchaeum koreense	Nitrosarchaeum koreense	species
Nitrosococcus oceani	Nitrosococcus oceani	species
Nitrosomonas aestuarii	Nitrosomonas aestuarii	species
Nitrosomonas cryotolerans	Nitrosomonas cryotolerans	species
Nitrosomonas marina	Nitrosomonas marina	species
Nitrosomonas nitrosa	Nitrosomonas nitrosa	species
Nitrosomonas ureae	Nitrosomonas ureae	species
Nitrosopumilus maritimus	Nitrosopumilus maritimus	species
Nitrososphaera viennensis	Nitrososphaera viennensis	species
Niveispirillum cyanobacteriorum	Niveispirillum cyanobacteriorum	species
Nocardia abscessus	Nocardia abscessus	species
Nocardia africana	Nocardia africana	species
Nocardia asteroides	Nocardia asteroides	species
Nocardia beijingensis	Nocardia beijingensis	species
Nocardia brasiliensis	Nocardia brasiliensis	species
Nocardia cyriacigeorgica	Nocardia cyriacigeorgica	species
Nocardia farcinica	Nocardia farcinica	species
Nocardia mexicana	Nocardia mexicana	species
Nocardia nova	Nocardia nova	species
Nocardia otitidiscaviarum	Nocardia otitidiscaviarum	species
Nocardia pseudobrasiliensis	Nocardia pseudobrasiliensis	species
Nocardia transvalensis	Nocardia transvalensis	species
Nocardia vaccinii	Nocardia vaccinii	species
Nocardia veterana	Nocardia veterana	species
Nocardia vinacea	Nocardia vinacea	species
Nocardioides aquiterrae	Nocardioides aquiterrae	species
Nocardioides aromaticivorans	Nocardioides aromaticivorans	species
Nocardioides caricicola	Nocardioides caricicola	species
Nocardioides dokdonensis	Nocardioides dokdonensis	species
Nocardioides mesophilus	Nocardioides mesophilus	species
Nocardiopsis ganjiahuensis	Nocardiopsis ganjiahuensis	species
Nocardiopsis gilva	Nocardiopsis gilva	species
Nocardiopsis halophila	Nocardiopsis halophila	species
Nocardiopsis kunsanensis	Nocardiopsis kunsanensis	species
Nocardiopsis prasina	Nocardiopsis prasina	species
Nocardiopsis synnemataformans	Nocardiopsis synnemataformans	species
Nocardiopsis trehalosi	Nocardiopsis trehalosi	species
Nocardiopsis tropica	Nocardiopsis tropica	species
Nocardiopsis xinjiangensis	Nocardiopsis xinjiangensis	species
Nonlabens	Nonlabens	genus
Nonomuraea africana	Nonomuraea africana	species
Nonomuraea angiospora	Nonomuraea angiospora	species
Nonomuraea dietziae	Nonomuraea dietziae	species
Nonomuraea ferruginea	Nonomuraea ferruginea	species
Nonomuraea helvata	Nonomuraea helvata	species
Nonomuraea pusilla	Nonomuraea pusilla	species
Nonomuraea recticatena	Nonomuraea recticatena	species
Nonomuraea roseola	Nonomuraea roseola	species
Nonomuraea rubra	Nonomuraea rubra	species
Nonomuraea salmonea	Nonomuraea salmonea	species
Nostoc punctiforme	Nostoc punctiforme	species
Novosphingobium pentaromativorans	Novosphingobium pentaromativorans	species
Novosphingobium taihuense	Novosphingobium taihuense	species
Obesumbacterium	Obesumbacterium	genus
Oceanicaulis alexandrii	Oceanicaulis alexandrii	species
Oceanimonas smirnovii	Oceanimonas smirnovii	species
Oceaniovalibus guishaninsula	Oceaniovalibus guishaninsula	species
Oceanisphaera donghaensis	Oceanisphaera donghaensis	species
Oceanithermus desulfurans	Oceanithermus desulfurans	species
Oceanobacillus oncorhynchi	Oceanobacillus oncorhynchi	species
Oceanobacillus picturae	Oceanobacillus picturae	species
Oceanospirillaceae	Oceanospirillaceae	family
Oceanospirillales	Oceanospirillales	order
Oceanotoga teriensis	Oceanotoga teriensis	species
Octadecabacter antarcticus	Octadecabacter antarcticus	species
Odoribacter splanchnicus	Odoribacter splanchnicus	species
Oerskovia enterophila	Oerskovia enterophila	species
Oerskovia paurometabola	Oerskovia paurometabola	species
Oerskovia turbata	Oerskovia turbata	species
Oleiphilus messinensis	Oleiphilus messinensis	species
Oleispira antarctica	Oleispira antarctica	species
Oligella ureolytica	Oligella ureolytica	species
Opitutus terrae	Opitutus terrae	species
Orenia	Orenia	genus
Orenia metallireducens	Orenia metallireducens	species
Orenia salinaria	Orenia salinaria	species
Ornithinibacter aureus	Ornithinibacter aureus	species
Ornithinimicrobium kibberense	Ornithinimicrobium kibberense	species
Ornithinimicrobium pekingense	Ornithinimicrobium pekingense	species
Ornithobacterium rhinotracheale	Ornithobacterium rhinotracheale	species
Oryzihumus leptocrescens	Oryzihumus leptocrescens	species
Oscillibacter ruminantium	Oscillibacter ruminantium	species
Oscillibacter valericigenes	Oscillibacter valericigenes	species
Oscillochloris trichoides	Oscillochloris trichoides	species
Ottowia thiooxydans	Ottowia thiooxydans	species
Oxalobacter vibrioformis	Oxalobacter vibrioformis	species
Oxalophagus oxalicus	Oxalophagus oxalicus	species
Oxobacter pfennigii	Oxobacter pfennigii	species
Paenibacillus amylolyticus	Paenibacillus amylolyticus	species
Paenibacillus anaericanus	Paenibacillus anaericanus	species
Paenibacillus antarcticus	Paenibacillus antarcticus	species
Paenibacillus apiarius	Paenibacillus apiarius	species
Paenibacillus barengoltzii	Paenibacillus barengoltzii	species
Paenibacillus brasilensis	Paenibacillus brasilensis	species
Paenibacillus cellulosilyticus	Paenibacillus cellulosilyticus	species
Paenibacillus chibensis	Paenibacillus chibensis	species
Paenibacillus chitinolyticus	Paenibacillus chitinolyticus	species
Paenibacillus cineris	Paenibacillus cineris	species
Paenibacillus cookii	Paenibacillus cookii	species
Paenibacillus curdlanolyticus	Paenibacillus curdlanolyticus	species
Paenibacillus darwinianus	Paenibacillus darwinianus	species
Paenibacillus durus	Paenibacillus durus	species
Paenibacillus ehimensis	Paenibacillus ehimensis	species
Paenibacillus elgii	Paenibacillus elgii	species
Paenibacillus favisporus	Paenibacillus favisporus	species
Paenibacillus glucanolyticus	Paenibacillus glucanolyticus	species
Paenibacillus graminis	Paenibacillus graminis	species
Paenibacillus granivorans	Paenibacillus granivorans	species
Paenibacillus jamilae	Paenibacillus jamilae	species
Paenibacillus kobensis	Paenibacillus kobensis	species
Paenibacillus koreensis	Paenibacillus koreensis	species
Paenibacillus kribbensis	Paenibacillus kribbensis	species
Paenibacillus lautus	Paenibacillus lautus	species
Paenibacillus lentimorbus	Paenibacillus lentimorbus	species
Paenibacillus macerans	Paenibacillus macerans	species
Paenibacillus massiliensis	Paenibacillus massiliensis	species
Paenibacillus motobuensis	Paenibacillus motobuensis	species
Paenibacillus naphthalenovorans	Paenibacillus naphthalenovorans	species
Paenibacillus odorifer	Paenibacillus odorifer	species
Paenibacillus pabuli	Paenibacillus pabuli	species
Paenibacillus panacisoli	Paenibacillus panacisoli	species
Paenibacillus peoriae	Paenibacillus peoriae	species
Paenibacillus phyllosphaerae	Paenibacillus phyllosphaerae	species
Paenibacillus polymyxa	Paenibacillus polymyxa	species
Paenibacillus popilliae	Paenibacillus popilliae	species
Paenibacillus rhizosphaerae	Paenibacillus rhizosphaerae	species
Paenibacillus terrae	Paenibacillus terrae	species
Paenibacillus thiaminolyticus	Paenibacillus thiaminolyticus	species
Paenibacillus turicensis	Paenibacillus turicensis	species
Paenibacillus validus	Paenibacillus validus	species
Paenibacillus wynnii	Paenibacillus wynnii	species
Paenibacillus xylanilyticus	Paenibacillus xylanilyticus	species
Paludibacter jiangxiensis	Paludibacter jiangxiensis	species
Paludibacter propionicigenes	Paludibacter propionicigenes	species
Pandoraea apista	Pandoraea apista	species
Pannonibacter phragmitetus	Pannonibacter phragmitetus	species
Pantoea agglomerans	Pantoea agglomerans	species
Pantoea ananatis	Pantoea ananatis	species
Pantoea dispersa	Pantoea dispersa	species
Pantoea rodasii	Pantoea rodasii	species
Pantoea rwandensis	Pantoea rwandensis	species
Pantoea stewartii	Pantoea stewartii	species
Pantoea wallisii	Pantoea wallisii	species
Parabacteroides distasonis	Parabacteroides distasonis	species
Parabacteroides johnsonii	Parabacteroides johnsonii	species
Parabacteroides merdae	Parabacteroides merdae	species
Paracoccus alcaliphilus	Paracoccus alcaliphilus	species
Paracoccus alkenifer	Paracoccus alkenifer	species
Paracoccus aminovorans	Paracoccus aminovorans	species
Paracoccus denitrificans	Paracoccus denitrificans	species
Paracoccus ferrooxidans	Paracoccus ferrooxidans	species
Paracoccus kocurii	Paracoccus kocurii	species
Paracoccus kondratievae	Paracoccus kondratievae	species
Paracoccus methylutens	Paracoccus methylutens	species
Paracoccus pantotrophus	Paracoccus pantotrophus	species
Paracoccus solventivorans	Paracoccus solventivorans	species
Paracoccus thiocyanatus	Paracoccus thiocyanatus	species
Paracoccus versutus	Paracoccus versutus	species
Paracraurococcus ruber	Paracraurococcus ruber	species
Paraprevotella clara	Paraprevotella clara	species
Paraprevotella xylaniphila	Paraprevotella xylaniphila	species
Parascardovia denticolens	Parascardovia denticolens	species
Parasporobacterium paucivorans	Parasporobacterium paucivorans	species
Parvibaculum hydrocarboniclasticum	Parvibaculum hydrocarboniclasticum	species
Parvibaculum lavamentivorans	Parvibaculum lavamentivorans	species
Pasteurella dagmatis	Pasteurella dagmatis	species
Pasteurella multocida	Pasteurella multocida	species
Pasteurellaceae	Pasteurellaceae	family
Pasteuria penetrans	Pasteuria penetrans	species
Patulibacter	Patulibacter	genus
Patulibacter minatonensis	Patulibacter minatonensis	species
Pectinatus cerevisiiphilus	Pectinatus cerevisiiphilus	species
Pectinatus frisingensis	Pectinatus frisingensis	species
Pectinatus haikarae	Pectinatus haikarae	species
Pectobacterium atrosepticum	Pectobacterium atrosepticum	species
Pectobacterium betavasculorum	Pectobacterium betavasculorum	species
Pectobacterium cacticida	Pectobacterium cacticida	species
Pectobacterium carotovorum	Pectobacterium carotovorum	species
Pectobacterium wasabiae	Pectobacterium wasabiae	species
Pediococcus	Pediococcus	genus
Pediococcus damnosus	Pediococcus damnosus	species
Pediococcus parvulus	Pediococcus parvulus	species
Pediococcus pentosaceus	Pediococcus pentosaceus	species
Pedomicrobium	Pedomicrobium	genus
Pedomicrobium americanum	Pedomicrobium americanum	species
Pedomicrobium australicum	Pedomicrobium australicum	species
Pedomicrobium ferrugineum	Pedomicrobium ferrugineum	species
Pedomicrobium manganicum	Pedomicrobium manganicum	species
Pedomicrobium sp. ACM 3067	Pedomicrobium sp. ACM 3067	species
Pelagicoccus mobilis	Pelagicoccus mobilis	species
Pelagicola litoralis	Pelagicola litoralis	species
Pelobacter acidigallici	Pelobacter acidigallici	species
Pelobacter massiliensis	Pelobacter massiliensis	species
Pelobacter propionicus	Pelobacter propionicus	species
Pelolinea submarina	Pelolinea submarina	species
Pelomonas saccharophila	Pelomonas saccharophila	species
Pelotomaculum isophthalicicum	Pelotomaculum isophthalicicum	species
